# Інформація про час ініціалізації systemd пo процесово

3.544s snap.lxd.activate.service
3.017s snapd.service
1.175s systemd-networkd-wait-online.service
 956ms dev-mapper-ubuntu\x2d\x2dvg\x2dubuntu\x2d\x2dlv.device
 828ms udisks2.service
 699ms cloud-init-local.service
 685ms cloud-config.service
 588ms networkd-dispatcher.service
 563ms cloud-init.service
 513ms dev-loop1.device
 507ms dev-loop0.device
 506ms dev-loop2.device
 449ms cloud-final.service
 323ms systemd-logind.service
 293ms ModemManager.service
 293ms ssh.service
 292ms keyboard-setup.service
 282ms snapd.apparmor.service
 216ms apport.service
 214ms snapd.seeded.service
 208ms polkit.service
 190ms e2scrub_reap.service
 186ms multipathd.service
 178ms lvm2-monitor.service
 156ms systemd-udev-trigger.service
 151ms modprobe@efi_pstore.service
 148ms apparmor.service
 147ms systemd-journald.service
 143ms rsyslog.service
 122ms sys-kernel-tracing.mount
 119ms systemd-fsck@dev-disk-by\x2duuid-a755ec4e\x2d3c14\x2d4b04\x2d8525\x2d6327777dab71.service
 118ms user@1000.service
 118ms systemd-journal-flush.service
 113ms systemd-modules-load.service
 112ms dev-mqueue.mount
 111ms sys-kernel-debug.mount
 108ms dev-hugepages.mount
 107ms grub-common.service
 105ms kmod-static-nodes.service
  97ms systemd-sysusers.service
  94ms systemd-udevd.service
  94ms update-notifier-download.service
  92ms modprobe@configfs.service
  90ms modprobe@drm.service
  87ms systemd-random-seed.service
  85ms systemd-remount-fs.service
  83ms modprobe@fuse.service
  82ms systemd-resolved.service
  79ms systemd-timesyncd.service
  79ms systemd-sysctl.service
  55ms grub-initrd-fallback.service
  53ms systemd-tmpfiles-setup-dev.service
  35ms systemd-tmpfiles-setup.service
  35ms systemd-networkd.service
  31ms systemd-update-utmp.service
  31ms swap.img.swap
  30ms plymouth-read-write.service
  30ms lvm2-pvscan@8:3.service
  26ms systemd-user-sessions.service
  26ms systemd-binfmt.service
  24ms sys-fs-fuse-connections.mount
  21ms systemd-update-utmp-runlevel.service
  19ms sys-kernel-config.mount
  18ms console-setup.service
  16ms snap-core20-1974.mount
  15ms finalrd.service
  15ms snap-lxd-24322.mount
  13ms plymouth-quit.service
  10ms setvtrgb.service
  10ms user-runtime-dir@1000.service
  10ms ufw.service
   9ms proc-sys-fs-binfmt_misc.mount
   6ms snap-snapd-20671.mount
   6ms snap-snapd-19457.mount
   5ms boot.mount
   3ms snapd.socket
   3ms plymouth-quit-wait.service
  21us blk-availability.service
